District,Grade,Year,Category,Number Tested,Mean Scale Score,Lvl1Cnt,Lvl1Pct,Lvl2Cnt,Lvl2Pct,Lvl3Cnt,Lvl3Pct,Lvl4Cnt,Lvl4Pct,PassCnt,PassPct
30,8,2014,All Students,3181,302,759,23.9,1307,41.1,768,24.1,347,10.9,1115,35.1
30,8,2015,All Students,3129,304,629,20.1,1304,41.7,848,27.1,348,11.1,1196,38.2
30,All Grades,2013,All Students,18291,301,5403,29.5,7275,39.8,3935,21.5,1678,9.2,5613,30.7
30,All Grades,2014,All Students,18484,301,5324,28.8,7268,39.3,4081,22.1,1811,9.8,5892,31.9
30,All Grades,2015,All Students,18326,303,5038,27.5,6973,38.0,4284,23.4,2031,11.1,6315,34.5
31,3,2013,All Students,4610,303,1453,31.5,1645,35.7,1339,29.0,173,3.8,1512,32.8
31,3,2014,All Students,4510,301,1484,32.9,1415,31.4,1391,30.8,220,4.9,1611,35.7
31,3,2015,All Students,4591,302,1495,32.6,1485,32.3,1313,28.6,298,6.5,1611,35.1
31,4,2013,All Students,4709,301,1309,27.8,1892,40.2,1060,22.5,448,9.5,1508,32.0
31,4,2014,All Students,4534,303,1204,26.6,1737,38.3,1075,23.7,518,11.4,1593,35.1
31,4,2015,All Students,4443,304,1173,26.4,1645,37.0,1026,23.1,599,13.5,1625,36.6
31,5,2013,All Students,4608,303,1334,28.9,1729,37.5,1110,24.1,435,9.4,1545,33.5
31,5,2014,All Students,4714,302,1370,29.1,1793,38.0,1050,22.3,501,10.6,1551,32.9
31,5,2015,All Students,4497,303,1283,28.5,1694,37.7,999,22.2,521,11.6,1520,33.8
31,6,2013,All Students,4096,299,1184,28.9,1767,43.1,621,15.2,524,12.8,1145,28.0
31,6,2014,All Students,4236,303,919,21.7,1912,45.1,754,17.8,651,15.4,1405,33.2
31,6,2015,All Students,4300,305,986,22.9,1739,40.4,785,18.3,790,18.4,1575,36.6
31,7,2013,All Students,4274,301,1255,29.4,1702,39.8,1035,24.2,282,6.6,1317,30.8
31,7,2014,All Students,4092,300,1221,29.8,1559,38.1,1017,24.9,295,7.2,1312,32.1
31,7,2015,All Students,4228,302,1149,27.2,1481,35.0,1280,30.3,318,7.5,1598,37.8
31,8,2013,All Students,4213,300,1153,27.4,1689,40.1,970,23.0,401,9.5,1371,32.5
31,8,2014,All Students,4294,302,995,23.2,1748,40.7,1139,26.5,412,9.6,1551,36.1
31,8,2015,All Students,4043,306,831,20.6,1467,36.3,1231,30.4,514,12.7,1745,43.2
31,All Grades,2013,All Students,26510,301,7688,29.0,10424,39.3,6135,23.1,2263,8.5,8398,31.7
31,All Grades,2014,All Students,26380,302,7193,27.3,10164,38.5,6426,24.4,2597,9.8,9023,34.2
31,All Grades,2015,All Students,26102,304,6917,26.5,9511,36.4,6634,25.4,3040,11.6,9674,37.1
